userid,sex,nationality,age,usertype
283083,Male,Thai,38,UNSPECIFIED
323768,Male,Thai,39,GENERAL
228599,Male,Not Thai,48,GENERAL
315715,Male,Not Thai,53,UNSPECIFIED
334956,Female,Thai,35,GENERAL
269972,Female,Thai,46,GENERAL
316342,Male,Not Thai,53,UNSPECIFIED
315854,Female,Thai,34,UNSPECIFIED
295885,Male,Thai,38,UNSPECIFIED
285810,Female,Thai,32,GENERAL
281222,Female,Thai,42,GENERAL
160893,Male,Thai,38,GENERAL
257797,Female,Thai,46,GENERAL
327972,Male,Thai,38,GENERAL
324780,Male,Thai,23,GENERAL
327458,Male,Thai,31,GENERAL
202411,Male,Thai,31,GENERAL
333697,Male,Thai,33,GENERAL
11067,Male,Thai,28,STUDENT
293877,Male,Thai,32,UNSPECIFIED
61710,Female,Thai,37,GENERAL
142989,Male,Thai,33,GENERAL
120777,Male,Thai,22,GENERAL
66358,Male,Thai,39,GENERAL
332643,Male,Thai,49,GENERAL
295896,Male,Thai,50,UNSPECIFIED
327121,Female,Thai,42,GENERAL
337913,Male,Thai,48,GENERAL
327309,Male,Not Thai,29,GENERAL
321628,Male,Thai,38,GENERAL
330054,Female,Thai,36,GENERAL
318036,Male,Thai,44,GENERAL
316373,Male,Thai,35,UNSPECIFIED
324566,Male,Thai,57,GENERAL
317800,Male,Thai,28,GENERAL
1250,Male,Not Thai,30,STUDENT
13841,Male,Not Thai,26,STUDENT
327063,Male,Thai,50,GENERAL
275463,Male,Thai,37,GENERAL
50326,Male,Not Thai,41,GENERAL
220999,Male,Thai,33,GENERAL
333427,Male,Thai,53,GENERAL
331905,Female,Thai,39,GENERAL
331721,Female,Thai,32,GENERAL
319934,Female,Thai,38,GENERAL
283182,Male,Thai,50,GENERAL
282171,Female,Thai,45,GENERAL
330607,Female,Thai,29,GENERAL
289183,Female,Not Thai,36,GENERAL
330269,Male,Not Thai,24,GENERAL
338347,Male,Thai,46,GENERAL
306141,Female,Thai,27,UNSPECIFIED
318854,Female,Thai,51,GENERAL
142257,Male,Thai,39,UNSPECIFIED
112613,Female,Thai,31,GENERAL
263629,Male,Thai,31,GENERAL
5441,Male,Not Thai,31,UNSPECIFIED
321962,Male,Not Thai,45,GENERAL
304115,Male,Thai,31,UNSPECIFIED
329650,Female,Thai,50,GENERAL
328262,Male,Thai,44,GENERAL
23563,Male,Thai,26,GENERAL
308220,Male,Thai,22,UNSPECIFIED
131333,Male,Thai,24,STUDENT
317907,Female,Thai,26,GENERAL
330281,Male,Thai,45,GENERAL
5587,Male,Not Thai,37,GENERAL
303570,Male,Thai,25,UNSPECIFIED
331763,Male,Thai,21,GENERAL
238627,Male,Thai,28,GENERAL
330975,Female,Thai,41,GENERAL
332472,Female,Thai,31,GENERAL
335529,Female,Thai,27,GENERAL
201095,Male,Thai,29,GENERAL
6234,Female,Thai,45,GENERAL
325959,Male,Thai,35,GENERAL
184059,Male,Thai,29,GENERAL
312562,Male,Thai,40,UNSPECIFIED
22138,Female,Thai,40,GENERAL
310653,Male,Thai,27,UNSPECIFIED
88137,Female,Thai,33,GENERAL
316911,Male,Thai,47,GENERAL
15761,Male,Thai,28,GENERAL
319132,Male,Not Thai,49,GENERAL
264723,Male,Thai,33,GENERAL
32701,Female,Thai,29,GENERAL
322607,Female,Thai,26,GENERAL
293125,Male,Thai,36,UNSPECIFIED
295200,Female,Thai,35,UNSPECIFIED
321850,Female,Not Thai,34,UNSPECIFIED
230775,Male,Thai,32,GENERAL
6000,Male,Thai,28,GENERAL
24366,Male,Thai,38,GENERAL
206213,Female,Thai,52,GENERAL
311469,Male,Thai,48,UNSPECIFIED
296981,Male,Thai,42,UNSPECIFIED
308669,Male,Thai,23,UNSPECIFIED
301340,Male,Thai,37,UNSPECIFIED
187641,Male,Thai,46,GENERAL
239641,Female,Thai,30,GENERAL
276533,Female,Thai,37,GENERAL
332489,Male,Thai,30,GENERAL
336556,Male,Thai,56,GENERAL
282683,Male,Thai,32,UNSPECIFIED
330283,Male,Not Thai,32,GENERAL
336912,Male,Thai,44,GENERAL
323641,Male,Thai,26,GENERAL
301706,Male,Thai,32,UNSPECIFIED
306730,Male,Not Thai,36,UNSPECIFIED
332305,Male,Thai,24,GENERAL
329566,Male,Not Thai,38,GENERAL
280667,Male,Thai,41,UNSPECIFIED
292848,Female,Thai,44,UNSPECIFIED
240337,Female,Thai,30,GENERAL
321983,Male,Thai,33,GENERAL
303503,Female,Thai,44,UNSPECIFIED
322069,Male,Thai,27,GENERAL
180505,Male,Thai,36,GENERAL
270818,Male,Thai,48,GENERAL
207795,Female,Thai,25,GENERAL
280635,Male,Not Thai,36,GENERAL
62473,Male,Thai,40,GENERAL
272707,Male,Thai,36,GENERAL
46039,Male,Thai,31,GENERAL
288296,Male,Thai,39,UNSPECIFIED
332297,Female,Thai,29,GENERAL
335216,Male,Thai,31,GENERAL
321306,Male,Thai,29,GENERAL
273143,Female,Thai,34,GENERAL
310836,Male,Not Thai,35,UNSPECIFIED
